orgao;uniorcam;funcao;subfuncao;programa;projativ;elemento;elemento_f;rv;dot_inicial;atualiz_monet;cred_suplem;cred_especial;cred_extraord;reducoes;suplem_rv;reduc_rv;empenhado;liquidado;pago;limitado;recomposto;prev_ate_termino
2;201;4;122;1;2004;319011;"31 90 11";1;338.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;265.417,72;265.417,72;265.417,72;0,00;0,00;338.000,00
2;201;4;122;1;2004;319013;"31 90 13";1;62.206,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45.659,58;45.659,58;41.134,29;0,00;0,00;62.206,00
2;201;4;122;1;2004;319016;"31 90 16";1;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00
2;201;4;122;1;2004;319094;"31 90 94";1;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00
2;201;4;122;1;2004;319113;"31 91 13";1;5.241,00;0,00;0,00;0,00;0,00;1.400,00;0,00;0,00;1.480,27;1.480,27;1.295,28;0,00;0,00;3.841,00
2;201;4;122;1;2004;339014;"33 90 14";1;5.553,00;0,00;7.000,00;0,00;0,00;0,00;0,00;0,00;12.374,57;12.374,57;12.374,57;0,00;0,00;12.553,00
2;201;4;122;1;2004;339030;"33 90 30";1;2.000,00;0,00;500,00;0,00;0,00;0,00;0,00;0,00;2.226,50;1.931,00;1.931,00;0,00;0,00;2.500,00
2;201;4;122;1;2004;339036;"33 90 36";1;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;207,30;207,30;207,30;0,00;0,00;500,00
2;201;4;122;1;2004;339039;"33 90 39";1;7.000,00;0,00;21.000,00;0,00;0,00;0,00;0,00;0,00;18.807,35;18.487,05;18.487,05;0,00;0,00;28.000,00
2;201;4;122;1;2004;339040;"33 90 40";1;1.500,00;0,00;1.000,00;0,00;0,00;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.500,00
