orgao;uniorcam;funcao;subfuncao;programa;projativ;rubrica;rubrica_f;rv;empenhado_1bim;empenhado_2bim;empenhado_3bim;empenhado_4bim;empenhado_5bim;empenhado_6bim;liquidado_1bim;liquidado_2bim;liquidado_3bim;liquidado_4bim;liquidado_5bim;liquidado_6bim;pago_1bim;pago_2bim;pago_3bim;pago_4bim;pago_5bim;pago_6bim
11;1101;28;845;0;2;317170010000000;"31 71 70 01 00 00 00";1;9.678,14;0,00;0,00;0,00;0,00;0,00;806,51;1.613,02;1.613,02;1.613,02;2.419,53;1.613,04;806,51;1.613,02;1.613,02;1.613,02;1.613,02;2.419,55
11;1101;28;845;0;2;337170010000000;"33 71 70 01 00 00 00";1;2.972,52;0,00;0,00;0,00;0,00;0,00;247,71;495,42;495,42;495,42;743,13;495,42;247,71;495,42;495,42;495,42;495,42;743,13
11;1101;28;845;0;2;447170010000000;"44 71 70 01 00 00 00";1;343,18;0,00;0,00;0,00;0,00;0,00;28,60;57,20;57,20;57,20;85,80;57,18;28,60;57,20;57,20;57,20;57,20;85,78
11;1101;28;845;0;3;337170020000000;"33 71 70 02 00 00 00";1;18.079,20;0,00;0,00;0,00;0,00;-12,00;1.505,60;1.505,60;3.011,20;4.516,80;3.011,20;4.516,80;0,00;3.011,20;3.011,20;4.516,80;3.011,20;4.516,80
10;1002;20;608;4;4;333041390200000;"33 30 41 39 02 00 00";1;0,00;18.260,64;0,00;9.964,00;0,00;14.840,00;0,00;0,00;11.819,52;16.405,12;0,00;14.840,00;0,00;0,00;11.819,52;16.405,12;0,00;14.840,00
11;1101;28;843;0;5;469171990100000;"46 91 71 99 01 00 00";1;129.647,00;0,00;0,00;0,00;0,00;0,00;129.647,00;0,00;0,00;0,00;0,00;0,00;129.647,00;0,00;0,00;0,00;0,00;0,00
11;1101;28;846;0;6;339093990400000;"33 90 93 99 04 00 00";1;18,42;0,00;799,14;160,39;0,00;0,00;18,42;0,00;799,14;160,39;0,00;0,00;18,42;0,00;799,14;160,39;0,00;0,00
11;1101;28;846;0;6;339093990400000;"33 90 93 99 04 00 00";1024;9.726,52;0,00;0,00;0,00;0,00;0,00;9.726,52;0,00;0,00;0,00;0,00;0,00;9.726,52;0,00;0,00;0,00;0,00;0,00
11;1101;28;846;0;6;339093990400000;"33 90 93 99 04 00 00";1039;0,00;0,00;0,00;0,00;30.426,95;0,00;0,00;0,00;0,00;0,00;30.426,95;0,00;0,00;0,00;0,00;0,00;30.426,95;0,00
11;1101;28;846;0;6;339093990400000;"33 90 93 99 04 00 00";1202;0,00;0,00;0,00;1.542,21;0,00;0,00;0,00;0,00;0,00;1.542,21;0,00;0,00;0,00;0,00;0,00;1.542,21;0,00;0,00
11;1101;28;846;0;7;319092050000000;"31 90 92 05 00 00 00";1;0,00;0,00;0,00;0,00;10.910,42;0,00;0,00;0,00;0,00;0,00;10.910,42;0,00;0,00;0,00;0,00;0,00;10.910,42;0,00
11;1101;28;846;0;7;339047120000000;"33 90 47 12 00 00 00";1;250.000,00;60.000,00;0,00;0,00;-13.300,00;-43.406,96;47.950,81;35.575,91;39.930,95;40.544,33;42.493,87;46.797,17;33.733,56;37.139,86;38.274,77;45.854,45;30.906,34;49.049,68
11;1101;28;846;0;7;339047100000000;"33 90 47 10 00 00 00";1;165,88;0,00;467,36;82,94;82,94;82,94;165,88;0,00;467,36;82,94;82,94;82,94;165,88;0,00;384,42;165,88;0,00;165,88
11;1101;28;846;0;7;339047030000000;"33 90 47 03 00 00 00";1;240,00;810,00;480,00;570,00;480,00;1.610,00;0,00;1.050,00;480,00;570,00;480,00;1.610,00;0,00;1.050,00;480,00;570,00;480,00;810,00
11;1101;28;846;0;7;339047160000000;"33 90 47 16 00 00 00";1;0,00;136,79;0,00;0,00;3.708,49;0,00;0,00;136,79;0,00;0,00;3.708,49;0,00;0,00;136,79;0,00;0,00;3.708,49;0,00
11;1101;28;846;0;7;339047150000000;"33 90 47 15 00 00 00";1;0,00;0,00;0,00;0,00;2.182,03;0,00;0,00;0,00;0,00;0,00;2.182,03;0,00;0,00;0,00;0,00;0,00;2.182,03;0,00
11;1101;28;846;0;7;339047120000000;"33 90 47 12 00 00 00";1018;300,00;0,00;0,00;0,00;-141,98;0,00;50,32;43,07;0,00;42,96;21,67;0,00;50,32;43,07;0,00;42,96;21,67;0,00
11;1101;28;846;0;8;339091020000000;"33 90 91 02 00 00 00";1;0,00;0,00;0,00;23.581,88;8.490,79;0,00;0,00;0,00;0,00;23.581,88;8.490,79;0,00;0,00;0,00;0,00;23.581,88;8.490,79;0,00
11;1101;28;846;0;8;339091990000000;"33 90 91 99 00 00 00";1;0,00;0,00;448,40;0,00;4.849,21;9.993,06;0,00;0,00;448,40;0,00;4.849,21;9.993,06;0,00;0,00;448,40;0,00;0,00;14.842,27
11;1101;28;846;0;9;319113990100000;"31 91 13 99 01 00 00";1;181.822,36;176.641,06;189.735,16;189.460,60;188.112,18;270.592,95;181.822,36;176.641,06;189.735,16;189.460,60;188.112,18;270.592,95;98.339,09;168.720,47;187.831,31;189.015,36;187.212,41;365.245,67
12;1201;9;272;20;11;319001010000000;"31 90 01 01 00 00 00";50;200.322,46;199.724,39;199.091,06;212.556,53;218.388,34;218.388,34;200.322,46;199.724,39;199.091,06;212.556,53;218.388,34;218.388,34;200.322,46;199.724,39;199.091,06;212.556,53;218.388,34;218.388,34
12;1201;9;272;20;11;319001060000000;"31 90 01 06 00 00 00";50;0,00;0,00;0,00;0,00;0,00;109.194,17;0,00;0,00;0,00;0,00;0,00;109.194,17;0,00;0,00;0,00;0,00;0,00;109.194,17
12;1201;9;272;20;12;319003030000000;"31 90 03 03 00 00 00";50;0,00;76,92;0,00;0,00;0,00;42.141,88;0,00;76,92;0,00;0,00;0,00;42.141,88;0,00;76,92;0,00;0,00;0,00;42.141,88
12;1201;9;272;20;12;319003010000000;"31 90 03 01 00 00 00";50;88.518,78;87.248,28;84.283,76;84.283,76;84.283,76;84.283,76;88.518,78;87.248,28;84.283,76;84.283,76;84.283,76;84.283,76;88.518,78;87.248,28;84.283,76;84.283,76;84.283,76;84.283,76
12;1201;9;272;20;13;319005000106000;"31 90 05 00 01 06 00";50;0,00;0,00;0,00;0,00;0,00;20.785,90;0,00;0,00;0,00;0,00;0,00;20.785,90;0,00;0,00;0,00;0,00;0,00;20.785,90
12;1201;9;272;20;13;319005000105000;"31 90 05 00 01 05 00";50;1.014,72;951,30;824,46;824,46;792,75;761,04;1.014,72;951,30;824,46;824,46;792,75;761,04;1.014,72;951,30;824,46;824,46;792,75;761,04
12;1201;9;272;20;13;319005000101000;"31 90 05 00 01 01 00";50;57.227,75;44.627,13;65.658,83;61.670,51;45.079,94;59.188,57;57.227,75;44.627,13;65.658,83;61.670,51;45.079,94;59.188,57;57.227,75;44.627,13;65.658,83;61.670,51;45.079,94;59.188,57
12;1201;9;272;20;13;319005000103000;"31 90 05 00 01 03 00";50;0,00;0,00;2.986,48;3.947,33;8.227,48;19.847,51;0,00;0,00;2.986,48;3.947,33;8.227,48;19.847,51;0,00;0,00;2.986,48;3.947,33;8.227,48;19.847,51
10;1005;6;182;14;15;335043010000000;"33 50 43 01 00 00 00";1;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;3.000,00;0,00;0,00;0,00
11;1101;28;843;0;16;319113030100000;"31 91 13 03 01 00 00";1;0,00;0,00;130,39;0,00;0,00;0,00;0,00;0,00;130,39;0,00;0,00;0,00;0,00;0,00;130,39;0,00;0,00;0,00
11;1101;28;843;0;16;319113170100000;"31 91 13 17 01 00 00";1;0,00;0,00;255,99;0,00;0,00;0,00;0,00;0,00;255,99;0,00;0,00;0,00;0,00;0,00;255,99;0,00;0,00;0,00
2;204;8;243;11;17;335041990000000;"33 50 41 99 00 00 00";1050;0,00;0,00;0,00;9.202,00;0,00;0,00;0,00;0,00;0,00;9.202,00;0,00;0,00;0,00;0,00;0,00;9.202,00;0,00;0,00
2;204;8;243;11;17;445041990000000;"44 50 41 99 00 00 00";1050;0,00;0,00;0,00;1.491,00;0,00;0,00;0,00;0,00;0,00;1.491,00;0,00;0,00;0,00;0,00;0,00;1.491,00;0,00;0,00
10;1003;22;661;4;18;336045000000000;"33 60 45 00 00 00 00";1;0,00;0,00;0,00;10.500,00;0,00;0,00;0,00;0,00;0,00;3.000,00;3.000,00;4.500,00;0,00;0,00;0,00;3.000,00;3.000,00;4.500,00
