nr_lei;dia_lei;mes_lei;ano_lei;nr_decreto;dia_decreto;mes_decreto;ano_decreto;valor_credito;valor_reducao;tipo_credito;origem_recurso
2845;4;12;2018;000003/2019;10;1;2019;99.468,95;0,00;1;1
2845;4;12;2018;000004/2019;15;1;2019;294.475,00;0,00;1;1
2845;4;12;2018;000005/2019;15;1;2019;130.000,00;0,00;1;1
2845;4;12;2018;000005/2019;15;1;2019;300,00;300,00;1;5
2845;4;12;2018;000006/2019;15;1;2019;88.910,00;0,00;1;1
2845;4;12;2018;000007/2019;23;1;2019;58.000,00;58.000,00;1;5
2845;4;12;2018;000009/2019;28;1;2019;57.000,00;57.000,00;1;5
2845;4;12;2018;000010/2019;29;1;2019;98.000,00;98.000,00;1;5
2845;4;12;2018;000011/2019;29;1;2019;57.620,00;57.620,00;1;5
2845;4;12;2018;000012/2019;31;1;2019;68.468,95;68.468,95;1;5
2845;4;12;2018;000013/2019;1;2;2019;3.000,00;3.000,00;1;5
2845;4;12;2018;000014/2019;1;2;2019;127.000,00;127.000,00;1;5
2845;4;12;2018;000015/2019;11;2;2019;3.000,00;3.000,00;1;5
2845;4;12;2018;000016/2019;20;2;2019;144.150,00;144.150,00;1;5
2845;4;12;2018;000017/2019;21;2;2019;257.750,00;257.750,00;1;5
2845;4;12;2018;000018/2019;26;2;2019;40.000,00;40.000,00;1;5
2845;4;12;2018;000019/2019;27;2;2019;47.000,00;47.000,00;1;5
2845;4;12;2018;000021/2019;28;2;2019;505.000,00;505.000,00;1;5
2845;4;12;2018;000022/2019;2;3;2019;76.160,00;76.160,00;1;5
2845;4;12;2018;000023/2019;7;3;2019;15.328,00;15.328,00;1;5
2845;4;12;2018;000026/2019;13;3;2019;3.000,00;3.000,00;1;5
2845;4;12;2018;000028/2019;18;3;2019;27.143,87;0,00;1;1
2845;4;12;2018;000028/2019;18;3;2019;6.207,49;0,00;1;2
2845;4;12;2018;000028/2019;18;3;2019;4.000,00;4.000,00;1;5
2845;4;12;2018;000029/2019;21;3;2019;15.500,00;15.500,00;1;5
2845;4;12;2018;000034/2019;25;3;2019;1.520,00;1.520,00;1;5
2845;4;12;2018;000035/2019;27;3;2019;269.800,00;269.800,00;1;5
2845;4;12;2018;000036/2019;29;3;2019;4.955,16;4.955,16;1;5
2845;4;12;2018;000037/2019;1;4;2019;15.000,00;15.000,00;1;5
2845;4;12;2018;000038/2019;4;4;2019;19.007,00;19.007,00;1;5
2845;4;12;2018;000042/2019;8;4;2019;14.150,00;14.150,00;1;5
2845;4;12;2018;000043/2019;9;4;2019;7.000,00;7.000,00;1;5
2845;4;12;2018;000044/2019;10;4;2019;2.000,00;2.000,00;1;5
2845;4;12;2018;000045/2019;12;4;2019;8.479,20;8.479,20;1;5
2845;4;12;2018;000046/2019;16;4;2019;63.400,00;63.400,00;1;5
2845;4;12;2018;000047/2019;17;4;2019;1.334,83;0,00;1;1
2845;4;12;2018;000047/2019;17;4;2019;1.000,00;1.000,00;1;5
2845;4;12;2018;000050/2019;22;4;2019;22.971,32;0,00;1;1
2845;4;12;2018;000050/2019;22;4;2019;12.000,00;12.000,00;1;5
2845;4;12;2018;000051/2019;23;4;2019;62.400,00;62.400,00;1;5
2845;4;12;2018;000052/2019;25;4;2019;3.600,00;0,00;1;1
2845;4;12;2018;000053/2019;26;4;2019;8.000,00;8.000,00;1;5
2845;4;12;2018;000054/2019;26;4;2019;40.000,00;40.000,00;1;5
2845;4;12;2018;000055/2019;26;4;2019;3.000,00;3.000,00;1;5
2845;4;12;2018;000056/2019;26;4;2019;675,00;675,00;1;5
2845;4;12;2018;000057/2019;30;4;2019;43.000,00;43.000,00;1;5
2845;4;12;2018;000058/2019;30;4;2019;4.000,00;4.000,00;1;5
2845;4;12;2018;000059/2019;2;5;2019;500,00;500,00;1;5
