orgao;uniorcam;funcao;subfuncao;programa;projativ;ndo;ndo_f;rv;contrapartida;nr_empenho;dia;mes;ano;valor;credor;cp;reg_preco;nr_licitacao;ano_licitacao;historico;forma_contrat;base_legal;desp_func;licit_compart;cnpj_gerenciador;ano_empenho
11;1101;28;846;0;7;339047120000000;"33 90 47 12 00 00 00";1;0;0201900000001;2;1;2019;3.330,00;231;0;N;0;0;"COMPLEMENTO  DA  NE  001/2018  RELATIVO  AO  PASEP DE DEZEMBRO DE 2018 CUJO MONTANTE  INSCRITO  EM  RESTOS  A  PAGAR  PROCESSADOS  FORA ESTIMADO E CUJO CONHECIMENTO  DO  VALOR  EXATO SE DEU APENAS COM O REGISTRO DOS RENDIMENTOS DE  DEZEMBRO  DE 2018 CONHECIDOS NOS EXTRATOS EMITIDOS NO INICIO DE JANEIRO DE 2019. NE0001/2018 = R$ 18.334,38 NE0001/2019 = R$ 666,05 PASEPA A RECOLHER = R$ 19.000,43";NSA;0;X;X;00000000000000;2019
11;1101;28;846;0;7;339047120000000;"33 90 47 12 00 00 00";1;0;0201900000002;2;1;2019;1.200.000,00;231;0;N;0;0;"PASEP A RECOLHER NO EXERCICIO DE 2019 CONFORME ESTIMATIVA. COMPETENCIA: 2019";NSA;1;X;X;00000000000000;2019
7;702;15;452;17;2045;339039250000000;"33 90 39 25 00 00 00";1;0;0201900000003;2;1;2019;95,00;1169;0;N;0;0;"TAXA  DE  ADMINISTRACAO  PELA  COBRANCA  DA CIP ATRAVES DA CONTA DE ENERGIA ELETRICA REF. EXERCICIO DE 2018. COMPLEMENTO  A  NE19/2018  DEIXADA EM RESTOS A PAGAR PROCESSADOS PELO VALOR ESTIMATIVO. VALOR  CORRETO  CONHECIDO  APENAS  EM  2019  COM O RECEBIMENTO DA FATURA. N. CONOSCO 3082467837 NE19/2018 = R$ 400,00 NE03/2019 = R$ 19,07";NSA;0;X;X;00000000000000;2019
2;203;4;122;1;2005;339039990200000;"33 90 39 99 02 00 00";1;0;0201900000004;2;1;2019;78.995,00;177;0;N;0;0;"MENSALIDADE PARA A FAMURS, NO EXERCICIO DE 2019. VALOR MENSAL R$ 1.316,59";NSA;6;X;X;00000000000000;2019
11;1101;28;846;0;7;339047120000000;"33 90 47 12 00 00 00";1;0;0201900000005;2;1;2019;45.000,00;231;0;N;0;0;"RETENCAO AO PASEP 1% FPM...............R$ ITR...............R$ FEP...............R$ ICMS EXP..........R$ FEX. CEX..........R$ AFM-APOIO.........R$";NSA;6;X;X;00000000000000;2019
4;401;4;123;1;2015;339039810000000;"33 90 39 81 00 00 00";1;0;0201900000006;2;1;2019;1.015,00;4303;0;N;0;0;"TARIFAS TED'S NO EXERCICIO 2019.";NSA;0;X;X;00000000000000;2019
9;901;8;122;11;2075;339040140000000;"33 90 40 14 00 00 00";1;0;0201900000007;2;1;2019;2.444,50;149;0;N;0;0;"PACOTE  INTERNET  MAIS  LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES DA LINHA 3539-1148  DA  SECRETARIA  DE  ASSISTENCIA  SOCIAL NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
6;601;26;122;1;2032;339039580100000;"33 90 39 58 01 00 00";1;0;0201900000008;2;1;2019;1.524,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES DA LINHA 3539-1202 DA SECRETARIA DE OBRAS NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
2;204;8;243;11;2009;339039580100000;"33 90 39 58 01 00 00";1;0;0201900000009;2;1;2019;419,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA  LINHA 3539-1255 DO CONSELHO TUTELAR NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
5;502;12;365;2;2022;339039580100000;"33 90 39 58 01 00 00";20;0;0201900000010;2;1;2019;876,00;149;0;N;0;0;"LIGACOES  TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1299 DA E.M.E.I. LAR DA CRIANCA NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
