nr_empenho;nr_liquidac;dia;mes;ano;valor;operacao;historico;existe_contrato;nr_contrato_tce;nr_contrato;ano_contrato;existe_nf;nr_nf;serie_nf;tipo_contrato
0201900000907;00000000000000000788;19;2;2019;209,00;000000000000000000000000000000;"1/4 DE DIARIA A IJUI NO DIA 19.02.19 PARA LEVAR ONIBUS DO TRANSPORTE ESCOLAR PARA VISTORIA  CONF SD 145 EM ANEXO.";X;0;"                    ";0;X;0;"   ";X
0201900000007;00000000000000000007;11;1;2019;2.444,50;000000000000000000000000000000;"PACOTE INTERNET MAIS LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1148 DA SECRETARIA DE ASSISTENCIA SOCIAL NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043037;"U  ";X
0201900000008;00000000000000000008;11;1;2019;1.524,00;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1202 DA SECRETARIA DE OBRAS NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043028;"U  ";X
0201900000009;00000000000000000009;11;1;2019;419,00;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1255 DO CONSELHO TUTELAR NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043030;"U  ";X
0201900000010;00000000000000000010;11;1;2019;876,00;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1299 DA E.M.E.I. LAR DA CRIANCA NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043036;"U  ";X
0201900000011;00000000000000000011;11;1;2019;1.978,00;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1131 DA E.M.E.F. PRESIDENTE GETULIO VARGAS NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043032;"U  ";X
0201900000012;00000000000000000012;11;1;2019;816,50;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1107 DO ESF 02 NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043031;"U  ";X
0201900000013;00000000000000000013;11;1;2019;979,50;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1118 DO PRONTO ATENDIMENTO NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043034;"U  ";X
0201900000014;00000000000000000014;11;1;2019;2.402,50;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1440 DA SECR. DE SAUDE NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043033;"U  ";X
0201900000015;00000000000000000015;11;1;2019;677,00;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1495 DO ESF 01 NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043035;"U  ";X
0201900000016;00000000000000000016;11;1;2019;523,00;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1533 DA FARMACIA NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043038;"U  ";X
0201900000017;00000000000000000017;11;1;2019;744,00;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1534 DA VIG. EPIDEMIOLOGICA NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043039;"U  ";X
0201900000018;00000000000000000018;11;1;2019;1.780,50;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-1535 DO SETOR DE COMPRAS DA SEC. DE SAUDE NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4043040;"U  ";X
0201900000019;00000000000000000019;14;1;2019;7.855,00;000000000000000000000000000000;"LIGACOES TELEFONICAS REALIZADAS ATRAVES DA LINHA 3539-4200 DO PALACIO MUNICIPAL NO EXERCICIO DE 2019.   FATURA No  REF. MES.";N;0;"                    ";0;S;4450466;"U  ";X
0201900000035;00000000000000000020;14;1;2019;2.869,00;000000000000000000000000000000;"INTERNET UTILIZADA PELO GABINETE E SETORES NO EXERCICIO 2018.  VALOR MENSAL = R$ 573,80  FAT.   MES:";N;0;"                    ";0;S;4384272;"U  ";X
0201900000036;00000000000000000021;14;1;2019;819,00;000000000000000000000000000000;"INTERNET UTILIZADA PELO SETOR DE TI NO EXERCICIO 2018.  VALOR MENSAL = R$ 163,89  FAT.   MES:";N;0;"                    ";0;S;4384272;"U  ";X
0201900000037;00000000000000000022;14;1;2019;5.327,00;000000000000000000000000000000;"INTERNET UTILIZADA PELA SECR. DA FAZENDA E SETORES NO EXERCICIO 2018.  VALOR MENSAL = R$ 1.065,48  FAT.   MES:";N;0;"                    ";0;S;4384272;"U  ";X
0201900000038;00000000000000000023;14;1;2019;1.638,50;000000000000000000000000000000;"INTERNET UTILIZADA PELA SECR. DE AGRICULTURA E SETORES NO EXERCICIO 2018.  VALOR MENSAL = R$ 327,79  FAT.   MES:";N;0;"                    ";0;S;4384272;"U  ";X
0201900000039;00000000000000000024;14;1;2019;3.688,00;000000000000000000000000000000;"INTERNET UTILIZADA PELA SECR. DE ADMINISTRACAO E SETORES NO EXERCICIO 2018.  VALOR MENSAL = R$ 737,69  MES:";N;0;"                    ";0;S;4384272;"U  ";X
0201900000040;00000000000000000025;14;1;2019;3.279,50;000000000000000000000000000000;"INTERNET UTILIZADA PELA SECR. DE EDUCACAO E SETORES NO EXERCICIO 2018.  VALOR MENSAL = R$ 655,92  FAT.   MES:";N;0;"                    ";0;S;4384272;"U  ";X
0201900000069;00000000000000000026;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796. 114-7 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000070;00000000000000000027;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0793. 041-1 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000071;00000000000000000028;14;1;2019;434,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.664-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000072;00000000000000000029;14;1;2019;343,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.206-2 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000073;00000000000000000030;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.166-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000074;00000000000000000031;14;1;2019;293,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.743-3 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000075;00000000000000000032;14;1;2019;435,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.725-5 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000076;00000000000000000033;14;1;2019;268,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.100-7 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000077;00000000000000000034;14;1;2019;327,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.764-6 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000078;00000000000000000035;14;1;2019;268,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.150-3 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000079;00000000000000000036;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.221-6 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
