nr_empenho;nr_pagament;dia;mes;ano;valor;operacao;conta_debito;conta_debito_f;uniorcam_debito;conta_credito;conta_credito_f;uniorcam_credito;historico;nr_liquidac
0201900002482;00000000000000533440;15;5;2019;418,00;"                              ";21891020000000000000;2.1.8.9.1.02.00.00.00.00;201;11111190201000000000;1.1.1.1.1.19.02.01.00.00;201;"DEVOLUCAO DEVIDO ESTAR EM ATESTADO MEDICO.";00000000000000003195
0201900000188;00000000000000524686;31;1;2019;3.151,00;"                              ";21891020000000000000;2.1.8.9.1.02.00.00.00.00;201;11111190201000000000;1.1.1.1.1.19.02.01.00.00;201;"ESTORNADO CONFORME MEM. No 14/2019, DEVIDO A IMPOSSIBILIDADE DE COMPARECER A AGENDA NA DATA APRAZADA.";00000000000000000086
0201900000246;00000000000000526185;26;2;2019;20,00;"                              ";21311010101000000000;2.1.3.1.1.01.01.01.00.00;201;11111191202000000000;1.1.1.1.1.19.12.02.00.00;201;"DEVOLUCAO DE VALOR COBRADO A MAIOR NA MENSALIDADE DE JANEIRO 2019.";00000000000000000841
0201900000094;00000000000000526577;27;2;2019;136,50;"                              ";21311010101000000000;2.1.3.1.1.01.01.01.00.00;201;11111190201000000000;1.1.1.1.1.19.02.01.00.00;201;"DEVOLUCAO DO BOLETO PAGO, EM VIRTUDE DO CONTRATO TER SIDO QUITADO TODO O SALDO DEVEDOR EM 08/02/2019.";00000000000000000542
0201900001154;00000000000000528485;22;3;2019;2.245,00;"                              ";21311010101000000000;2.1.3.1.1.01.01.01.00.00;201;11111190207000000000;1.1.1.1.1.19.02.07.00.00;201;"DEVOLUCAO DAS SOBRAS, DEVIDO FUNCIONARIO SAIR DE FERIAS.";00000000000000001088
0201900000545;00000000000000529598;2;4;2019;12.900,00;"                              ";21311010101000000000;2.1.3.1.1.01.01.01.00.00;201;11111190207000000000;1.1.1.1.1.19.02.07.00.00;201;"DEVOLUCAO DAS SOBRAS EM VIRTUDE DE ENTRAR EM FERIAS.";00000000000000000371
0201900001437;00000000000000528668;27;3;2019;209,00;"                              ";21891020000000000000;2.1.8.9.1.02.00.00.00.00;201;11111010000000000000;1.1.1.1.1.01.00.00.00.00;201;"DEVIDO CANCELAMENTO DO CURSO.";00000000000000001581
0201900001404;00000000000000529021;28;3;2019;209,00;"                              ";21891020000000000000;2.1.8.9.1.02.00.00.00.00;201;11111010000000000000;1.1.1.1.1.01.00.00.00.00;201;"DEVIDO ALTERACAO DA CARGA HORARIA.";00000000000000001533
0201900001405;00000000000000529022;28;3;2019;209,00;"                              ";21891020000000000000;2.1.8.9.1.02.00.00.00.00;201;11111010000000000000;1.1.1.1.1.01.00.00.00.00;201;"DEVIDO ALTERACAO DA CARGA HORARIA.";00000000000000001534
0201900002019;00000000000000531482;29;4;2019;3.151,00;"                              ";21891020000000000000;2.1.8.9.1.02.00.00.00.00;201;11111010000000000000;1.1.1.1.1.01.00.00.00.00;201;"DEVOLUCAO AO CAIXA, DEVIDO A SUBSTITUICAO DO COLEGA, POR MOTIVOS DE SAUDE.";00000000000000002500
