nro;nro_f;uniorcam;janeiro;fevereiro;marco;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro;meta1bim;meta2bim;meta3bim;meta4bim;meta5bim;meta6bim;cp;rv
10000000000000000000;1.0.0.0.00.0.0.00.00.00;201;2.680.739,45;2.190.843,01;2.167.592,89;2.676.002,71;2.771.313,52;3.140.292,89;2.662.634,69;2.050.533,85;2.412.018,70;2.579.915,12;0,00;0,00;4.850.636,60;4.832.247,70;5.097.980,42;5.702.666,93;4.420.906,08;5.899.553,49;0;0
11000000000000000000;1.1.0.0.00.0.0.00.00.00;201;224.040,20;116.345,49;159.805,18;199.387,42;277.167,93;755.501,92;225.493,07;115.963,01;209.507,32;108.719,90;0,00;0,00;344.300,68;429.773,54;633.597,77;628.386,83;362.990,28;422.559,67;0;0
11100000000000000000;1.1.1.0.00.0.0.00.00.00;201;222.184,93;111.011,83;154.307,07;195.242,01;272.069,25;749.957,55;220.143,85;109.127,08;185.463,16;100.864,81;0,00;0,00;337.462,66;422.935,52;626.759,75;621.548,81;356.152,26;415.721,64;0;0
11130000000000000000;1.1.1.3.00.0.0.00.00.00;201;58.949,50;43.712,05;48.368,68;45.525,27;68.834,48;45.051,37;48.476,99;44.274,23;45.745,99;46.200,09;0,00;0,00;101.186,78;101.186,78;101.186,78;101.186,78;101.186,78;151.780,04;0;0
11130300000000000000;1.1.1.3.03.0.0.00.00.00;201;58.949,50;43.712,05;48.368,68;45.525,27;68.834,48;45.051,37;48.476,99;44.274,23;45.745,99;46.200,09;0,00;0,00;101.186,78;101.186,78;101.186,78;101.186,78;101.186,78;151.780,04;0;0
11130310000000000000;1.1.1.3.03.1.0.00.00.00;201;58.949,50;43.712,05;48.368,68;45.525,27;43.735,95;45.051,37;44.077,77;44.274,23;45.745,99;46.200,09;0,00;0,00;101.186,78;101.186,78;101.186,78;101.186,78;101.186,78;151.780,04;0;0
11130311000000000000;1.1.1.3.03.1.1.00.00.00;201;58.949,50;43.712,05;48.368,68;45.525,27;43.735,95;45.051,37;44.077,77;44.274,23;45.745,99;46.200,09;0,00;0,00;101.186,78;101.186,78;101.186,78;101.186,78;101.186,78;151.780,04;0;0
11130311010000000000;1.1.1.3.03.1.1.01.00.00;201;48.090,99;35.743,75;35.325,86;35.098,87;35.095,62;36.663,92;35.674,83;35.467,10;37.135,68;35.930,07;0,00;0,00;86.152,32;86.152,32;86.152,32;86.152,32;86.152,32;129.228,45;0;0
11130311010100000000;1.1.1.3.03.1.1.01.01.00;201;28.854,59;21.446,25;21.195,51;21.059,32;21.057,37;21.998,35;21.404,90;21.280,25;22.281,41;21.558,04;0,00;0,00;51.691,40;51.691,40;51.691,40;51.691,40;51.691,40;77.537,03;0;1
11130311010200000000;1.1.1.3.03.1.1.01.02.00;201;12.022,75;8.935,94;8.831,47;8.774,72;8.773,91;9.165,98;8.918,71;8.866,78;9.283,92;8.982,52;0,00;0,00;21.538,08;21.538,08;21.538,08;21.538,08;21.538,08;32.307,11;0;20
11130311010300000000;1.1.1.3.03.1.1.01.03.00;201;7.213,65;5.361,56;5.298,88;5.264,83;5.264,34;5.499,59;5.351,22;5.320,07;5.570,35;5.389,51;0,00;0,00;12.922,84;12.922,84;12.922,84;12.922,84;12.922,84;19.384,31;0;40
11130311020000000000;1.1.1.3.03.1.1.02.00.00;201;5.122,16;3.180,85;2.606,81;5.002,04;2.690,92;2.438,04;2.453,53;2.857,72;2.660,90;2.690,91;0,00;0,00;6.321,68;6.321,68;6.321,68;6.321,68;6.321,68;9.482,48;0;0
11130311020100000000;1.1.1.3.03.1.1.02.01.00;201;3.073,30;1.908,51;1.564,09;3.001,22;1.614,55;1.462,82;1.472,12;1.714,63;1.596,53;1.614,54;0,00;0,00;3.793,00;3.793,00;3.793,00;3.793,00;3.793,00;5.689,53;0;1
11130311020200000000;1.1.1.3.03.1.1.02.02.00;201;1.280,54;795,21;651,70;1.250,51;672,73;609,51;613,38;714,43;665,23;672,73;0,00;0,00;1.580,42;1.580,42;1.580,42;1.580,42;1.580,42;2.370,62;0;20
11130311020300000000;1.1.1.3.03.1.1.02.03.00;201;768,32;477,13;391,02;750,31;403,64;365,71;368,03;428,66;399,14;403,64;0,00;0,00;948,26;948,26;948,26;948,26;948,26;1.422,33;0;40
11130311030000000000;1.1.1.3.03.1.1.03.00.00;201;5.736,35;4.787,45;10.436,01;5.424,36;5.949,41;5.949,41;5.949,41;5.949,41;5.949,41;7.579,11;0,00;0,00;8.712,78;8.712,78;8.712,78;8.712,78;8.712,78;13.069,11;0;0
11130311030100000000;1.1.1.3.03.1.1.03.01.00;201;3.441,81;2.872,47;6.261,61;3.254,62;3.569,65;3.569,65;3.569,65;3.569,65;3.569,65;4.547,46;0,00;0,00;5.227,66;5.227,66;5.227,66;5.227,66;5.227,66;7.841,51;0;1
11130311030200000000;1.1.1.3.03.1.1.03.02.00;201;1.434,09;1.196,86;2.609,00;1.356,09;1.487,35;1.487,35;1.487,35;1.487,35;1.487,35;1.894,78;0,00;0,00;2.178,20;2.178,20;2.178,20;2.178,20;2.178,20;3.267,25;0;20
11130311030300000000;1.1.1.3.03.1.1.03.03.00;201;860,45;718,12;1.565,40;813,65;892,41;892,41;892,41;892,41;892,41;1.136,87;0,00;0,00;1.306,92;1.306,92;1.306,92;1.306,92;1.306,92;1.960,35;0;40
11130340000000000000;1.1.1.3.03.4.0.00.00.00;201;0,00;0,00;0,00;0,00;25.098,53;0,00;4.399,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11130341000000000000;1.1.1.3.03.4.1.00.00.00;201;0,00;0,00;0,00;0,00;25.098,53;0,00;4.399,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11130341010000000000;1.1.1.3.03.4.1.01.00.00;201;0,00;0,00;0,00;0,00;25.098,53;0,00;4.399,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11130341010100000000;1.1.1.3.03.4.1.01.01.00;201;0,00;0,00;0,00;0,00;15.059,12;0,00;2.639,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11130341010200000000;1.1.1.3.03.4.1.01.02.00;201;0,00;0,00;0,00;0,00;6.274,63;0,00;1.099,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;20
11130341010300000000;1.1.1.3.03.4.1.01.03.00;201;0,00;0,00;0,00;0,00;3.764,78;0,00;659,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;40
11180000000000000000;1.1.1.8.00.0.0.00.00.00;201;163.235,43;67.299,78;105.938,39;149.716,74;203.234,77;704.906,18;171.666,86;64.852,85;139.717,17;54.664,72;0,00;0,00;236.275,88;321.748,74;525.572,97;520.362,03;254.965,48;263.941,60;0;0
11180100000000000000;1.1.1.8.01.0.0.00.00.00;201;135.484,15;44.137,73;77.728,02;119.351,76;171.211,75;678.293,86;146.008,45;36.569,58;97.656,90;21.057,65;0,00;0,00;182.497,12;267.969,98;471.794,21;466.583,27;201.186,72;210.162,88;0;0
11180110000000000000;1.1.1.8.01.1.0.00.00.00;201;5.164,15;7.102,73;46.129,02;57.656,76;95.574,75;226.833,54;28.339,45;12.051,58;10.713,90;8.217,65;0,00;0,00;15.830,46;101.303,32;305.127,55;32.916,61;34.520,06;43.496,18;0;0
11180111000000000000;1.1.1.8.01.1.1.00.00.00;201;0,00;0,00;32.711,61;47.350,07;88.005,28;216.209,09;11.221,90;5.455,12;3.520,15;1.333,01;0,00;0,00;893,28;86.366,14;290.168,48;17.840,95;19.405,38;28.348,38;0;0
11180111010000000000;1.1.1.8.01.1.1.01.00.00;201;0,00;0,00;19.626,71;28.409,80;52.802,68;129.724,11;6.733,08;3.272,97;2.112,07;799,80;0,00;0,00;535,96;51.819,69;174.101,09;10.704,57;11.643,23;17.009,03;0;1
11180111020000000000;1.1.1.8.01.1.1.02.00.00;201;0,00;0,00;8.178,10;11.837,71;22.001,75;54.053,26;2.805,54;1.363,85;880,05;333,26;0,00;0,00;223,32;21.591,53;72.542,12;4.460,24;4.851,35;7.087,09;0;20
11180111030000000000;1.1.1.8.01.1.1.03.00.00;201;0,00;0,00;4.906,80;7.102,56;13.200,85;32.431,72;1.683,28;818,30;528,03;199,95;0,00;0,00;134,00;12.954,92;43.525,27;2.676,14;2.910,80;4.252,26;0;40
11180112000000000000;1.1.1.8.01.1.2.00.00.00;201;0,00;0,00;0,00;0,00;0,00;111,08;947,68;509,87;527,53;215,57;0,00;0,00;518,08;518,08;539,97;656,56;695,58;728,71;0;0
11180112010000000000;1.1.1.8.01.1.2.01.00.00;201;0,00;0,00;0,00;0,00;0,00;66,60;568,58;305,88;316,49;129,34;0,00;0,00;365,70;365,70;365,70;365,70;365,70;365,68;0;1
11180112020000000000;1.1.1.8.01.1.2.02.00.00;201;0,00;0,00;0,00;0,00;0,00;27,79;236,97;127,50;131,90;53,89;0,00;0,00;152,38;152,38;152,38;152,38;152,38;152,35;0;20
11180112030000000000;1.1.1.8.01.1.2.03.00.00;201;0,00;0,00;0,00;0,00;0,00;16,69;142,13;76,49;79,14;32,34;0,00;0,00;0,00;0,00;21,89;138,48;177,50;210,68;0;40
11180113000000000000;1.1.1.8.01.1.3.00.00.00;201;4.204,41;5.467,47;9.965,63;7.548,65;6.001,41;8.192,00;10.716,94;5.141,98;5.279,31;4.807,43;0,00;0,00;10.608,02;10.608,02;10.608,02;10.608,02;10.608,02;10.608,03;0;0
11180113010000000000;1.1.1.8.01.1.3.01.00.00;201;2.522,59;3.280,33;5.979,25;4.529,09;3.600,76;4.915,09;6.429,99;3.085,07;3.167,48;2.884,35;0,00;0,00;6.364,82;6.364,82;6.364,82;6.364,82;6.364,82;6.364,78;0;1
11180113020000000000;1.1.1.8.01.1.3.02.00.00;201;1.051,16;1.366,97;2.491,53;1.887,21;1.500,45;2.048,08;2.679,35;1.285,58;1.319,90;1.201,94;0,00;0,00;2.652,00;2.652,00;2.652,00;2.652,00;2.652,00;2.652,03;0;20
11180113030000000000;1.1.1.8.01.1.3.03.00.00;201;630,66;820,17;1.494,85;1.132,35;900,20;1.228,83;1.607,60;771,33;791,93;721,14;0,00;0,00;1.591,20;1.591,20;1.591,20;1.591,20;1.591,20;1.591,22;0;40
11180114000000000000;1.1.1.8.01.1.4.00.00.00;201;959,74;1.635,26;3.451,78;2.758,04;1.568,06;2.321,37;5.452,93;944,61;1.386,91;1.861,64;0,00;0,00;3.811,08;3.811,08;3.811,08;3.811,08;3.811,08;3.811,06;0;0
11180114010000000000;1.1.1.8.01.1.4.01.00.00;201;575,83;981,10;2.071,00;1.654,78;940,75;1.392,81;3.271,73;566,71;832,09;1.116,90;0,00;0,00;2.286,64;2.286,64;2.286,64;2.286,64;2.286,64;2.286,67;0;1
11180114020000000000;1.1.1.8.01.1.4.02.00.00;201;239,97;408,87;863,00;689,54;392,09;580,36;1.363,26;236,21;346,76;465,46;0,00;0,00;952,78;952,78;952,78;952,78;952,78;952,72;0;20
11180114030000000000;1.1.1.8.01.1.4.03.00.00;201;143,94;245,29;517,78;413,72;235,22;348,20;817,94;141,69;208,06;279,28;0,00;0,00;571,66;571,66;571,66;571,66;571,66;571,67;0;40
11180140000000000000;1.1.1.8.01.4.0.00.00.00;201;130.320,00;37.035,00;31.599,00;61.695,00;75.637,00;451.460,32;117.669,00;24.518,00;86.943,00;12.840,00;0,00;0,00;166.666,66;166.666,66;166.666,66;433.666,66;166.666,66;166.666,70;0;0
11180141000000000000;1.1.1.8.01.4.1.00.00.00;201;130.320,00;37.035,00;31.599,00;61.695,00;75.637,00;451.460,32;117.669,00;24.518,00;86.943,00;12.840,00;0,00;0,00;166.666,66;166.666,66;166.666,66;433.666,66;166.666,66;166.666,70;0;0
11180141010000000000;1.1.1.8.01.4.1.01.00.00;201;78.192,00;22.221,00;18.959,40;37.017,00;45.382,20;270.876,19;70.601,40;14.710,80;52.165,80;7.704,00;0,00;0,00;100.000,00;100.000,00;100.000,00;367.000,00;100.000,00;100.000,00;0;1
11180141020000000000;1.1.1.8.01.4.1.02.00.00;201;32.580,00;9.258,75;7.899,75;15.423,75;18.909,25;112.865,08;29.417,25;6.129,50;21.735,75;3.210,00;0,00;0,00;41.666,66;41.666,66;41.666,66;41.666,66;41.666,66;41.666,70;0;20
11180141030000000000;1.1.1.8.01.4.1.03.00.00;201;19.548,00;5.555,25;4.739,85;9.254,25;11.345,55;67.719,05;17.650,35;3.677,70;13.041,45;1.926,00;0,00;0,00;25.000,00;25.000,00;25.000,00;25.000,00;25.000,00;25.000,00;0;40
11180200000000000000;1.1.1.8.02.0.0.00.00.00;201;27.751,28;23.162,05;28.210,37;30.364,98;32.023,02;26.612,32;25.658,41;28.283,27;42.060,27;33.607,07;0,00;0,00;53.778,76;53.778,76;53.778,76;53.778,76;53.778,76;53.778,72;0;0
11180230000000000000;1.1.1.8.02.3.0.00.00.00;201;27.751,28;23.162,05;28.210,37;30.364,98;32.023,02;26.612,32;25.658,41;28.283,27;42.060,27;33.607,07;0,00;0,00;53.778,76;53.778,76;53.778,76;53.778,76;53.778,76;53.778,72;0;0
